i,k,f1
57,1,0.673
57,5,0.77
57,10,0.849
57,25,0.868
57,50,0.891
57,-1,0.924
58,1,0.753
58,5,0.872
58,10,0.863
58,25,0.899
58,50,0.9
58,-1,0.945
59,1,0.579
59,5,0.806
59,10,0.867
59,25,0.901
59,50,0.91
59,-1,0.936
60,1,0.781
60,5,0.843
60,10,0.873
60,25,0.911
60,50,0.899
60,-1,0.947
61,1,0.572
61,5,0.855
61,10,0.883
61,25,0.889
61,50,0.897
61,-1,0.924
62,1,0.591
62,5,0.866
62,10,0.863
62,25,0.869
62,50,0.902
62,-1,0.942
63,1,0.654
63,5,0.882
63,10,0.89
63,25,0.918
63,50,0.895
63,-1,0.94
64,1,0.631
64,5,0.843
64,10,0.878
64,25,0.901
64,50,0.897
64,-1,0.94
65,1,0.679
65,5,0.856
65,10,0.875
65,25,0.904
65,50,0.901
65,-1,0.936
66,1,0.791
66,5,0.879
66,10,0.882
66,25,0.885
66,50,0.906
66,-1,0.939
67,1,0.635
67,5,0.813
67,10,0.858
67,25,0.901
67,50,0.902
67,-1,0.931
68,1,0.776
68,5,0.833
68,10,0.858
68,25,0.9
68,50,0.913
68,-1,0.931
69,1,0.722
69,5,0.857
69,10,0.876
69,25,0.891
69,50,0.905
69,-1,0.94
70,1,0.746
70,5,0.816
70,10,0.904
70,25,0.913
70,50,0.88
70,-1,0.946
71,1,0.667
71,5,0.842
71,10,0.904
71,25,0.877
71,50,0.916
71,-1,0.949
72,1,0.78
72,5,0.838
72,10,0.89
72,25,0.913
72,50,0.928
72,-1,0.944
73,1,0.662
73,5,0.809
73,10,0.853
73,25,0.892
73,50,0.9
73,-1,0.934
74,1,0.569
74,5,0.754
74,10,0.86
74,25,0.878
74,50,0.909
74,-1,0.933
75,1,0.759
75,5,0.804
75,10,0.865
75,25,0.883
75,50,0.883
75,-1,0.943
76,1,0.569
76,5,0.853
76,10,0.843
76,25,0.91
76,50,0.913
76,-1,0.946
77,1,0.342
77,5,0.861
77,10,0.866
77,25,0.902
77,50,0.896
77,-1,0.948
78,1,0.458
78,5,0.654
78,10,0.841
78,25,0.886
78,50,0.901
78,-1,0.937
79,1,0.555
79,5,0.834
79,10,0.862
79,25,0.891
79,50,0.895
79,-1,0.936
80,1,0.791
80,5,0.835
80,10,0.872
80,25,0.897
80,50,0.884
80,-1,0.929
81,1,0.792
81,5,0.858
81,10,0.884
81,25,0.867
81,50,0.88
81,-1,0.946
82,1,0.631
82,5,0.873
82,10,0.888
82,25,0.908
82,50,0.909
82,-1,0.947
