i,k,f1
1259,5,0.785
1259,10,0.814
1259,25,0.865
1259,50,0.894
1259,-1,0.931
1260,1,0.842
1260,5,0.855
1260,10,0.884
1260,25,0.893
1260,50,0.898
1260,-1,0.94
1261,1,0.458
1261,5,0.648
1261,10,0.837
1261,25,0.918
1261,50,0.932
1261,-1,0.943
1262,1,0.479
1262,5,0.703
1262,10,0.818
1262,25,0.869
1262,50,0.89
1262,-1,0.939
1263,1,0.725
1263,5,0.851
1263,10,0.88
1263,25,0.893
1263,50,0.895
1263,-1,0.945
1264,1,0.809
1264,5,0.859
1264,10,0.874
1264,25,0.883
1264,50,0.895
1264,-1,0.933
1265,1,0.768
1265,5,0.768
1265,10,0.8
1265,25,0.855
1265,50,0.899
1265,-1,0.95
1266,1,0.369
1266,5,0.822
1266,10,0.855
1266,25,0.888
1266,50,0.893
1266,-1,0.936
1267,1,0.644
1267,5,0.868
1267,10,0.898
1267,25,0.898
1267,50,0.908
1267,-1,0.94
1268,1,0.828
1268,5,0.867
1268,10,0.866
1268,25,0.901
1268,50,0.912
1268,-1,0.938
1269,1,0.688
1269,5,0.766
1269,10,0.831
1269,25,0.877
1269,50,0.89
1269,-1,0.95
1270,1,0.588
1270,5,0.765
1270,10,0.807
1270,25,0.891
1270,50,0.908
1270,-1,0.935
1271,1,0.777
1271,5,0.791
1271,10,0.838
1271,25,0.897
1271,50,0.914
1271,-1,0.946
1272,1,0.611
1272,5,0.775
1272,10,0.838
1272,25,0.882
1272,50,0.904
1272,-1,0.951
1273,1,0.616
1273,5,0.866
1273,10,0.873
1273,25,0.896
1273,50,0.915
1273,-1,0.935
1274,1,0.607
1274,5,0.817
1274,10,0.878
1274,25,0.89
1274,50,0.908
1274,-1,0.942
1275,1,0.629
1275,5,0.843
1275,10,0.884
1275,25,0.912
1275,50,0.916
1275,-1,0.94
1276,1,0.269
1276,5,0.836
1276,10,0.88
1276,25,0.897
1276,50,0.908
1276,-1,0.952
1277,1,0.75
1277,5,0.844
1277,10,0.863
1277,25,0.895
1277,50,0.924
1277,-1,0.931
1278,1,0.685
1278,5,0.828
1278,10,0.849
1278,25,0.893
1278,50,0.862
1278,-1,0.93
1279,1,0.342
1279,5,0.831
1279,10,0.848
1279,25,0.894
1279,50,0.912
1279,-1,0.939
1280,1,0.665
1280,5,0.76
1280,10,0.892
1280,25,0.884
1280,50,0.9
1280,-1,0.938
1281,1,0.657
1281,5,0.784
1281,10,0.846
1281,25,0.88
1281,50,0.899
1281,-1,0.946
1282,1,0.613
1282,5,0.853
1282,10,0.867
1282,25,0.91
1282,50,0.919
1282,-1,0.938
1283,1,0.699
1283,5,0.881
1283,10,0.893
1283,25,0.893
1283,50,0.898
1283,-1,0.94
1284,1,0.788
1284,5,0.812
1284,10,0.891
1284,25,0.91
1284,50,0.917
1284,-1,0.941
1285,1,0.793
1285,5,0.843
1285,10,0.863
1285,25,0.889
1285,50,0.909
1285,-1,0.923
1286,1,0.657
1286,5,0.779
1286,10,0.856
1286,25,0.894
1286,50,0.883
1286,-1,0.947
1287,1,0.852
1287,5,0.861
1287,10,0.851
1287,25,0.855
1287,50,0.898
1287,-1,0.936
1288,1,0.681
1288,5,0.849
1288,10,0.864
1288,25,0.862
1288,50,0.893
1288,-1,0.934
1289,1,0.787
1289,5,0.817
1289,10,0.871
1289,25,0.882
1289,50,0.895
1289,-1,0.941
1290,1,0.861
1290,5,0.868
1290,10,0.884
1290,25,0.885
1290,50,0.895
1290,-1,0.951
1291,1,0.687
1291,5,0.867
1291,10,0.859
1291,25,0.891
1291,50,0.899
1291,-1,0.931
1292,1,0.699
1292,5,0.803
1292,10,0.864
1292,25,0.881
1292,50,0.904
1292,-1,0.95
1293,1,0.172
1293,5,0.778
1293,10,0.864
1293,25,0.904
1293,50,0.904
1293,-1,0.939
1294,1,0.744
1294,5,0.838
1294,10,0.898
1294,25,0.895
1294,50,0.898
1294,-1,0.934
1295,1,0.343
1295,5,0.818
1295,10,0.906
1295,25,0.897
1295,50,0.913
1295,-1,0.941
1296,1,0.547
1296,5,0.82
1296,10,0.867
1296,25,0.892
1296,50,0.9
1296,-1,0.948
1297,1,0.74
1297,5,0.826
1297,10,0.893
1297,25,0.893
1297,50,0.909
1297,-1,0.931
1298,1,0.667
1298,5,0.838
1298,10,0.89
1298,25,0.911
1298,50,0.928
1298,-1,0.939
1299,1,0.374
1299,5,0.842
1299,10,0.886
1299,25,0.879
1299,50,0.913
1299,-1,0.936
1300,1,0.698
1300,5,0.826
1300,10,0.863
1300,25,0.88
1300,50,0.918
1300,-1,0.955
1301,1,0.719
1301,5,0.753
1301,10,0.779
1301,25,0.879
1301,50,0.881
1301,-1,0.946
1302,1,0.727
1302,5,0.823
1302,10,0.86
1302,25,0.878
1302,50,0.894
1302,-1,0.945
1303,1,0.596
1303,5,0.859
1303,10,0.848
1303,25,0.9
1303,50,0.899
1303,-1,0.92
1304,1,0.752
1304,5,0.89
1304,10,0.91
1304,25,0.907
1304,50,0.89
1304,-1,0.94
1305,1,0.586
1305,5,0.843
1305,10,0.872
1305,25,0.881
1305,50,0.885
1305,-1,0.94
1306,1,0.753
1306,5,0.887
1306,10,0.89
1306,25,0.898
1306,50,0.922
1306,-1,0.94
1307,1,0.799
1307,5,0.84
1307,10,0.829
1307,25,0.854
1307,50,0.89
1307,-1,0.943
1308,1,0.785
1308,5,0.892
1308,10,0.884
1308,25,0.902
1308,50,0.917
1308,-1,0.931
1309,1,0.807
1309,5,0.854
1309,10,0.864
1309,25,0.892
1309,50,0.907
1309,-1,0.951
1310,1,0.597
1310,5,0.856
1310,10,0.866
1310,25,0.904
1310,50,0.899
1310,-1,0.932
1311,1,0.461
1311,5,0.81
1311,10,0.891
1311,25,0.92
1311,50,0.904
1311,-1,0.936
1312,1,0.813
1312,5,0.839
1312,10,0.856
1312,25,0.907
1312,50,0.916
1312,-1,0.932
1313,1,0.561
1313,5,0.828
1313,10,0.856
1313,25,0.886
1313,50,0.894
1313,-1,0.934
1314,1,0.718
1314,5,0.86
1314,10,0.833
1314,25,0.884
1314,50,0.912
1314,-1,0.943
1315,1,0.714
1315,5,0.9
1315,10,0.911
1315,25,0.93
1315,50,0.918
1315,-1,0.941
1316,1,0.806
1316,5,0.823
1316,10,0.862
1316,25,0.904
1316,50,0.914
1316,-1,0.947
1317,1,0.741
1317,5,0.859
1317,10,0.893
1317,25,0.91
1317,50,0.91
1317,-1,0.948
1318,1,0.727
1318,5,0.863
1318,10,0.849
1318,25,0.911
1318,50,0.915
1318,-1,0.94
1319,1,0.519
1319,5,0.826
1319,10,0.859
1319,25,0.889
1319,50,0.895
1319,-1,0.931
1320,1,0.725
1320,5,0.834
1320,10,0.902
1320,25,0.896
1320,50,0.911
1320,-1,0.941
1321,1,0.424
1321,5,0.848
1321,10,0.866
1321,25,0.901
1321,50,0.914
1321,-1,0.927
1322,1,0.848
1322,5,0.873
1322,10,0.885
1322,25,0.894
1322,50,0.907
1322,-1,0.942
1323,1,0.686
1323,5,0.853
1323,10,0.875
1323,25,0.887
1323,50,0.9
1323,-1,0.942
1324,1,0.344
1324,5,0.874
1324,10,0.896
1324,25,0.892
1324,50,0.925
1324,-1,0.936
1325,1,0.692
1325,5,0.867
1325,10,0.885
1325,25,0.889
1325,50,0.898
1325,-1,0.94
1326,1,0.578
1326,5,0.868
1326,10,0.886
1326,25,0.916
1326,50,0.906
1326,-1,0.948
1327,1,0.292
1327,5,0.777
1327,10,0.861
1327,25,0.905
1327,50,0.908
1327,-1,0.946
1328,1,0.639
1328,5,0.829
1328,10,0.874
1328,25,0.887
1328,50,0.906
1328,-1,0.931
1329,1,0.751
1329,5,0.766
1329,10,0.852
1329,25,0.886
1329,50,0.917
1329,-1,0.938
1330,1,0.608
1330,5,0.849
1330,10,0.881
1330,25,0.911
1330,50,0.915
1330,-1,0.931
1331,1,0.714
1331,5,0.822
1331,10,0.842
1331,25,0.893
1331,50,0.89
1331,-1,0.946
1332,1,0.738
1332,5,0.866
1332,10,0.864
1332,25,0.912
1332,50,0.924
1332,-1,0.924
1333,1,0.588
1333,5,0.857
1333,10,0.884
1333,25,0.908
1333,50,0.901
1333,-1,0.945
1334,1,0.677
1334,5,0.843
1334,10,0.859
1334,25,0.884
1334,50,0.899
1334,-1,0.937
1335,1,0.748
1335,5,0.872
1335,10,0.868
1335,25,0.889
1335,50,0.922
1335,-1,0.937
1336,1,0.216
1336,5,0.847
1336,10,0.874
1336,25,0.919
1336,50,0.915
1336,-1,0.948
1337,1,0.567
1337,5,0.837
1337,10,0.815
1337,25,0.821
1337,50,0.87
1337,-1,0.937
1338,1,0.762
1338,5,0.841
1338,10,0.863
1338,25,0.872
1338,50,0.893
1338,-1,0.941
1339,1,0.722
1339,5,0.894
1339,10,0.905
1339,25,0.907
1339,50,0.924
1339,-1,0.94
1340,1,0.774
1340,5,0.775
1340,10,0.837
1340,25,0.875
1340,50,0.911
1340,-1,0.933
1341,1,0.835
1341,5,0.862
1341,10,0.865
1341,25,0.885
1341,50,0.889
1341,-1,0.927
1342,1,0.652
1342,5,0.85
1342,10,0.867
1342,25,0.886
1342,50,0.875
1342,-1,0.93
1343,1,0.735
1343,5,0.836
1343,10,0.873
1343,25,0.878
1343,50,0.902
1343,-1,0.935
1344,1,0.702
1344,5,0.867
1344,10,0.863
1344,25,0.871
1344,50,0.889
1344,-1,0.922
1345,1,0.45
1345,5,0.822
1345,10,0.84
1345,25,0.883
1345,50,0.908
1345,-1,0.949
1346,1,0.772
1346,5,0.814
1346,10,0.85
1346,25,0.864
1346,50,0.888
1346,-1,0.923
1347,1,0.816
1347,5,0.715
1347,10,0.863
1347,25,0.899
1347,50,0.929
1347,-1,0.948
1348,1,0.604
1348,5,0.864
1348,10,0.829
1348,25,0.882
1348,50,0.9
1348,-1,0.932
1349,1,0.759
1349,5,0.869
1349,10,0.87
1349,25,0.889
1349,50,0.903
1349,-1,0.939
1350,1,0.626
1350,5,0.856
1350,10,0.853
1350,25,0.86
1350,50,0.88
1350,-1,0.946
1351,1,0.814
1351,5,0.841
1351,10,0.879
1351,25,0.885
1351,50,0.905
1351,-1,0.946
1352,1,0.609
1352,5,0.854
1352,10,0.869
1352,25,0.893
1352,50,0.915
1352,-1,0.943
1353,1,0.496
1353,5,0.824
1353,10,0.874
1353,25,0.885
1353,50,0.91
1353,-1,0.933
1354,1,0.634
1354,5,0.758
1354,10,0.827
1354,25,0.887
1354,50,0.903
1354,-1,0.941
1355,1,0.545
1355,5,0.791
1355,10,0.816
1355,25,0.865
1355,50,0.885
1355,-1,0.945
1356,1,0.757
1356,5,0.845
1356,10,0.872
1356,25,0.89
1356,50,0.914
1356,-1,0.954
1357,1,0.705
1357,5,0.827
1357,10,0.819
1357,25,0.869
1357,50,0.877
1357,-1,0.93
1358,1,0.281
1358,5,0.857
1358,10,0.867
1358,25,0.879
1358,50,0.882
1358,-1,0.927
1359,1,0.668
1359,5,0.877
1359,10,0.889
1359,25,0.902
1359,50,0.922
1359,-1,0.938
1360,1,0.6
1360,5,0.838
1360,10,0.868
1360,25,0.893
1360,50,0.903
1360,-1,0.927
1361,1,0.76
1361,5,0.876
1361,10,0.888
1361,25,0.899
1361,50,0.902
1361,-1,0.935
1362,1,0.826
1362,5,0.86
1362,10,0.879
1362,25,0.888
1362,50,0.898
1362,-1,0.931
1363,1,0.674
1363,5,0.873
1363,10,0.868
1363,25,0.91
1363,50,0.916
1363,-1,0.942
1364,1,0.845
1364,5,0.857
1364,10,0.909
1364,25,0.91
1364,50,0.911
1364,-1,0.95
1365,1,0.844
1365,5,0.853
1365,10,0.884
1365,25,0.903
1365,50,0.883
1365,-1,0.936
1366,1,0.762
1366,5,0.815
1366,10,0.875
1366,25,0.894
1366,50,0.913
1366,-1,0.944
1367,1,0.817
1367,5,0.836
1367,10,0.876
1367,25,0.891
1367,50,0.867
1367,-1,0.935
1368,1,0.675
1368,5,0.829
1368,10,0.851
1368,25,0.884
1368,50,0.92
1368,-1,0.938
1369,1,0.6
1369,5,0.865
1369,10,0.875
1369,25,0.898
1369,50,0.908
1369,-1,0.94
1370,1,0.501
1370,5,0.836
1370,10,0.844
1370,25,0.867
1370,50,0.887
1370,-1,0.919
1371,1,0.679
1371,5,0.879
1371,10,0.894
1371,25,0.914
1371,50,0.908
1371,-1,0.936
1372,1,0.699
1372,5,0.852
1372,10,0.878
1372,25,0.892
1372,50,0.901
1372,-1,0.929
1373,1,0.701
1373,5,0.743
1373,10,0.781
1373,25,0.865
1373,50,0.898
1373,-1,0.933
1374,1,0.813
1374,5,0.824
1374,10,0.855
1374,25,0.877
1374,50,0.886
1374,-1,0.924
1375,1,0.568
1375,5,0.868
1375,10,0.885
1375,25,0.867
1375,50,0.891
1375,-1,0.942
1376,1,0.746
1376,5,0.814
1376,10,0.867
1376,25,0.903
1376,50,0.889
1376,-1,0.921
1377,1,0.682
1377,5,0.842
1377,10,0.878
1377,25,0.888
1377,50,0.912
1377,-1,0.952
1378,1,0.37
1378,5,0.828
1378,10,0.857
1378,25,0.884
1378,50,0.916
1378,-1,0.937
1379,1,0.627
1379,5,0.875
1379,10,0.874
1379,25,0.872
1379,50,0.878
1379,-1,0.947
1380,1,0.558
1380,5,0.863
1380,10,0.866
1380,25,0.912
1380,50,0.923
1380,-1,0.937
1381,1,0.633
1381,5,0.846
1381,10,0.876
1381,25,0.874
1381,50,0.899
1381,-1,0.939
1382,1,0.765
1382,5,0.8
1382,10,0.786
1382,25,0.874
1382,50,0.886
1382,-1,0.955
1383,1,0.629
1383,5,0.818
1383,10,0.843
1383,25,0.893
1383,50,0.892
1383,-1,0.939
1384,1,0.609
1384,5,0.793
1384,10,0.886
1384,25,0.913
1384,50,0.922
1384,-1,0.937
1385,1,0.686
1385,5,0.883
1385,10,0.884
1385,25,0.895
1385,50,0.907
1385,-1,0.938
1386,1,0.808
1386,5,0.854
1386,10,0.816
1386,25,0.89
1386,50,0.894
1386,-1,0.942
1387,1,0.835
1387,5,0.847
1387,10,0.856
1387,25,0.872
1387,50,0.894
1387,-1,0.936
1388,1,0.526
1388,5,0.811
1388,10,0.834
1388,25,0.878
1388,50,0.897
1388,-1,0.94
1389,1,0.577
1389,5,0.848
1389,10,0.908
1389,25,0.91
1389,50,0.926
1389,-1,0.946
1390,1,0.597
1390,5,0.837
1390,10,0.876
1390,25,0.905
1390,50,0.93
1390,-1,0.932
1391,1,0.374
1391,5,0.885
1391,10,0.893
1391,25,0.883
1391,50,0.912
1391,-1,0.944
1392,1,0.812
1392,5,0.865
1392,10,0.859
1392,25,0.891
1392,50,0.89
1392,-1,0.938
1393,1,0.713
1393,5,0.847
1393,10,0.867
1393,25,0.885
1393,50,0.901
1393,-1,0.947
1394,1,0.491
1394,5,0.845
1394,10,0.865
1394,25,0.878
1394,50,0.908
1394,-1,0.923
1395,1,0.686
1395,5,0.634
1395,10,0.819
1395,25,0.896
1395,50,0.91
1395,-1,0.946
1396,1,0.521
1396,5,0.868
1396,10,0.917
1396,25,0.916
1396,50,0.914
1396,-1,0.952
1397,1,0.664
1397,5,0.876
1397,10,0.902
1397,25,0.898
1397,50,0.89
1397,-1,0.958
1398,1,0.743
1398,5,0.752
1398,10,0.837
1398,25,0.863
1398,50,0.885
1398,-1,0.935
1399,1,0.801
1399,5,0.801
1399,10,0.875
1399,25,0.904
1399,50,0.902
1399,-1,0.947
1400,1,0.628
1400,5,0.817
1400,10,0.865
1400,25,0.881
1400,50,0.905
1400,-1,0.942
1401,1,0.834
1401,5,0.883
1401,10,0.898
1401,25,0.879
1401,50,0.874
1401,-1,0.939
1402,1,0.237
1402,5,0.748
1402,10,0.875
1402,25,0.899
1402,50,0.908
1402,-1,0.928
1403,1,0.168
1403,5,0.87
1403,10,0.89
1403,25,0.896
1403,50,0.886
1403,-1,0.938
1404,1,0.524
1404,5,0.881
1404,10,0.89
1404,25,0.89
1404,50,0.904
1404,-1,0.946
1405,1,0.739
1405,5,0.833
1405,10,0.851
1405,25,0.894
1405,50,0.882
1405,-1,0.939
1406,1,0.615
1406,5,0.862
1406,10,0.9
1406,25,0.893
1406,50,0.919
1406,-1,0.949
1407,1,0.402
1407,5,0.828
1407,10,0.822
1407,25,0.866
1407,50,0.882
1407,-1,0.933
1408,1,0.636
1408,5,0.781
1408,10,0.86
1408,25,0.899
1408,50,0.924
1408,-1,0.938
1409,1,0.202
1409,5,0.835
1409,10,0.85
1409,25,0.883
1409,50,0.924
1409,-1,0.923
1410,1,0.516
1410,5,0.82
1410,10,0.871
1410,25,0.896
1410,50,0.916
1410,-1,0.935
1411,1,0.613
1411,5,0.857
1411,10,0.858
1411,25,0.884
1411,50,0.894
1411,-1,0.93
1412,1,0.826
1412,5,0.879
1412,10,0.887
1412,25,0.92
1412,50,0.923
1412,-1,0.943
1413,1,0.59
1413,5,0.799
1413,10,0.865
1413,25,0.908
1413,50,0.923
1413,-1,0.935
1414,1,0.691
1414,5,0.824
1414,10,0.867
1414,25,0.906
1414,50,0.91
1414,-1,0.937
1415,1,0.805
1415,5,0.848
1415,10,0.905
1415,25,0.875
1415,50,0.884
1415,-1,0.94
1416,1,0.527
1416,5,0.843
1416,10,0.85
1416,25,0.863
1416,50,0.885
1416,-1,0.94
1417,1,0.728
1417,5,0.805
1417,10,0.819
1417,25,0.826
1417,50,0.864
1417,-1,0.929
1418,1,0.836
1418,5,0.842
1418,10,0.857
1418,25,0.898
1418,50,0.898
1418,-1,0.925
1419,1,0.538
1419,5,0.768
1419,10,0.827
1419,25,0.901
1419,50,0.916
1419,-1,0.941
1420,1,0.738
1420,5,0.831
1420,10,0.84
1420,25,0.881
1420,50,0.9
1420,-1,0.947
1421,1,0.579
1421,5,0.848
1421,10,0.869
1421,25,0.9
1421,50,0.909
1421,-1,0.939
1422,1,0.803
1422,5,0.845
1422,10,0.87
1422,25,0.891
1422,50,0.917
1422,-1,0.937
1423,1,0.575
1423,5,0.874
1423,10,0.879
1423,25,0.885
1423,50,0.9
1423,-1,0.931
1424,1,0.8
1424,5,0.892
1424,10,0.86
1424,25,0.878
1424,50,0.924
1424,-1,0.945
1425,1,0.633
1425,5,0.863
1425,10,0.891
1425,25,0.915
1425,50,0.918
1425,-1,0.949
1426,1,0.702
1426,5,0.852
1426,10,0.853
1426,25,0.919
1426,50,0.918
1426,-1,0.929
1427,1,0.702
1427,5,0.869
1427,10,0.906
1427,25,0.871
1427,50,0.876
1427,-1,0.937
1428,1,0.774
1428,5,0.876
1428,10,0.842
1428,25,0.893
1428,50,0.882
1428,-1,0.934
1429,1,0.718
1429,5,0.84
1429,10,0.878
1429,25,0.885
1429,50,0.907
1429,-1,0.932
1430,1,0.577
1430,5,0.807
1430,10,0.854
1430,25,0.872
1430,50,0.884
1430,-1,0.947
1431,1,0.644
1431,5,0.828
1431,10,0.87
1431,25,0.909
1431,50,0.903
1431,-1,0.936
1432,1,0.805
1432,5,0.882
1432,10,0.908
1432,25,0.875
1432,50,0.866
1432,-1,0.929
1433,1,0.632
1433,5,0.816
1433,10,0.866
1433,25,0.906
1433,50,0.883
1433,-1,0.938
1434,1,0.809
1434,5,0.815
1434,10,0.864
1434,25,0.886
1434,50,0.907
1434,-1,0.955
1435,1,0.764
1435,5,0.866
1435,10,0.888
1435,25,0.87
1435,50,0.885
1435,-1,0.944
1436,1,0.275
1436,5,0.757
1436,10,0.848
1436,25,0.876
1436,50,0.883
1436,-1,0.943
1437,1,0.757
1437,5,0.852
1437,10,0.864
1437,25,0.868
1437,50,0.892
1437,-1,0.941
1438,1,0.673
1438,5,0.863
1438,10,0.892
1438,25,0.913
1438,50,0.907
1438,-1,0.943
1439,1,0.712
1439,5,0.8
1439,10,0.865
1439,25,0.864
1439,50,0.881
1439,-1,0.943
1440,1,0.867
1440,5,0.886
1440,10,0.884
1440,25,0.894
1440,50,0.916
1440,-1,0.943
1441,1,0.688
1441,5,0.803
1441,10,0.864
1441,25,0.889
1441,50,0.916
1441,-1,0.936
1442,1,0.738
1442,5,0.811
1442,10,0.838
1442,25,0.882
1442,50,0.901
1442,-1,0.936
1443,1,0.458
1443,5,0.864
1443,10,0.891
1443,25,0.909
1443,50,0.92
1443,-1,0.949
1444,1,0.407
1444,5,0.881
1444,10,0.867
1444,25,0.902
1444,50,0.913
1444,-1,0.948
1445,1,0.561
1445,5,0.849
1445,10,0.88
1445,25,0.887
1445,50,0.907
1445,-1,0.95
1446,1,0.769
1446,5,0.861
1446,10,0.904
1446,25,0.908
1446,50,0.926
1446,-1,0.932
1447,1,0.814
1447,5,0.838
1447,10,0.864
1447,25,0.903
1447,50,0.9
1447,-1,0.922
1448,1,0.664
1448,5,0.744
1448,10,0.89
1448,25,0.909
1448,50,0.915
1448,-1,0.949
1449,1,0.603
1449,5,0.822
1449,10,0.898
1449,25,0.877
1449,50,0.891
1449,-1,0.953
1450,1,0.754
1450,5,0.788
1450,10,0.88
1450,25,0.898
1450,50,0.914
1450,-1,0.943
1451,1,0.803
1451,5,0.849
1451,10,0.894
1451,25,0.904
1451,50,0.917
1451,-1,0.931
1452,1,0.678
1452,5,0.827
1452,10,0.876
1452,25,0.895
1452,50,0.895
1452,-1,0.942
1453,1,0.772
1453,5,0.819
1453,10,0.823
1453,25,0.89
1453,50,0.893
1453,-1,0.946
1454,1,0.638
1454,5,0.886
1454,10,0.863
1454,25,0.9
1454,50,0.903
1454,-1,0.938
1455,1,0.702
1455,5,0.81
1455,10,0.86
1455,25,0.889
1455,50,0.904
1455,-1,0.944
1456,1,0.824
1456,5,0.872
1456,10,0.879
1456,25,0.842
1456,50,0.874
1456,-1,0.92
1457,1,0.822
1457,5,0.88
1457,10,0.886
1457,25,0.888
1457,50,0.893
1457,-1,0.955
1458,1,0.665
1458,5,0.842
1458,10,0.855
1458,25,0.906
1458,50,0.918
1458,-1,0.947
1459,1,0.604
1459,5,0.78
1459,10,0.858
1459,25,0.893
1459,50,0.893
1459,-1,0.941
1460,1,0.557
1460,5,0.861
1460,10,0.882
1460,25,0.895
1460,50,0.899
1460,-1,0.941
1461,1,0.597
1461,5,0.822
1461,10,0.841
1461,25,0.885
1461,50,0.915
1461,-1,0.939
1462,1,0.839
1462,5,0.888
1462,10,0.885
1462,25,0.893
1462,50,0.904
1462,-1,0.928
1463,1,0.717
1463,5,0.867
1463,10,0.875
1463,25,0.881
1463,50,0.901
1463,-1,0.932
1464,1,0.272
1464,5,0.773
1464,10,0.845
1464,25,0.889
1464,50,0.912
1464,-1,0.954
1465,1,0.791
1465,5,0.866
1465,10,0.895
1465,25,0.901
1465,50,0.927
1465,-1,0.949
1466,1,0.689
1466,5,0.868
1466,10,0.901
1466,25,0.911
1466,50,0.931
1466,-1,0.954
1467,1,0.681
1467,5,0.88
1467,10,0.899
1467,25,0.879
1467,50,0.901
1467,-1,0.939
1468,1,0.603
1468,5,0.83
1468,10,0.844
1468,25,0.906
1468,50,0.895
1468,-1,0.929
1469,1,0.29
1469,5,0.784
1469,10,0.864
1469,25,0.912
1469,50,0.898
1469,-1,0.938
1470,1,0.624
1470,5,0.844
1470,10,0.865
1470,25,0.9
1470,50,0.923
1470,-1,0.934
1471,1,0.808
1471,5,0.823
1471,10,0.891
1471,25,0.868
1471,50,0.866
1471,-1,0.924
1472,1,0.723
1472,5,0.851
1472,10,0.874
1472,25,0.884
1472,50,0.883
1472,-1,0.933
1473,1,0.796
1473,5,0.83
1473,10,0.87
1473,25,0.876
1473,50,0.891
1473,-1,0.926
1474,1,0.825
1474,5,0.788
1474,10,0.9
1474,25,0.92
1474,50,0.923
1474,-1,0.943
1475,1,0.614
1475,5,0.851
1475,10,0.833
1475,25,0.869
1475,50,0.872
1475,-1,0.943
1476,1,0.782
1476,5,0.901
1476,10,0.901
1476,25,0.907
1476,50,0.912
1476,-1,0.933
1477,1,0.693
1477,5,0.809
1477,10,0.822
1477,25,0.904
1477,50,0.895
1477,-1,0.944
1478,1,0.734
1478,5,0.835
1478,10,0.834
1478,25,0.877
1478,50,0.895
1478,-1,0.957
1479,1,0.606
1479,5,0.846
1479,10,0.89
1479,25,0.887
1479,50,0.912
1479,-1,0.941
1480,1,0.786
1480,5,0.859
1480,10,0.868
1480,25,0.879
1480,50,0.901
1480,-1,0.951
1481,1,0.84
1481,5,0.852
1481,10,0.879
1481,25,0.905
1481,50,0.902
1481,-1,0.922
1482,1,0.599
1482,5,0.864
1482,10,0.885
1482,25,0.92
1482,50,0.924
1482,-1,0.942
1483,1,0.762
1483,5,0.85
1483,10,0.873
1483,25,0.878
1483,50,0.899
1483,-1,0.928
1484,1,0.539
1484,5,0.852
1484,10,0.856
1484,25,0.856
1484,50,0.892
1484,-1,0.944
1485,1,0.791
1485,5,0.87
1485,10,0.861
1485,25,0.845
1485,50,0.9
1485,-1,0.955
1486,1,0.808
1486,5,0.839
1486,10,0.875
1486,25,0.908
1486,50,0.921
1486,-1,0.944
1487,1,0.718
1487,5,0.872
1487,10,0.902
1487,25,0.904
1487,50,0.903
1487,-1,0.939
1488,1,0.547
1488,5,0.828
1488,10,0.856
1488,25,0.897
1488,50,0.912
1488,-1,0.945
1489,1,0.789
1489,5,0.819
1489,10,0.857
1489,25,0.892
1489,50,0.915
1489,-1,0.929
1490,1,0.49
1490,5,0.781
1490,10,0.841
1490,25,0.9
1490,50,0.909
1490,-1,0.933
1491,1,0.741
1491,5,0.883
1491,10,0.837
1491,25,0.887
1491,50,0.894
1491,-1,0.945
1492,1,0.725
1492,5,0.879
1492,10,0.897
1492,25,0.903
1492,50,0.901
1492,-1,0.937
1493,1,0.577
1493,5,0.737
1493,10,0.835
1493,25,0.885
1493,50,0.889
1493,-1,0.945
1494,1,0.485
1494,5,0.87
1494,10,0.877
1494,25,0.905
1494,50,0.908
1494,-1,0.937
1495,1,0.706
1495,5,0.876
1495,10,0.896
1495,25,0.917
1495,50,0.895
1495,-1,0.926
1496,1,0.817
1496,5,0.877
1496,10,0.878
1496,25,0.896
1496,50,0.904
1496,-1,0.927
1497,1,0.711
1497,5,0.877
1497,10,0.894
1497,25,0.885
1497,50,0.907
1497,-1,0.929
1498,1,0.745
1498,5,0.853
1498,10,0.889
1498,25,0.891
1498,50,0.896
1498,-1,0.951
1499,1,0.753
1499,5,0.845
1499,10,0.834
1499,25,0.875
1499,50,0.905
1499,-1,0.951
1500,1,0.622
1500,5,0.839
1500,10,0.894
1500,25,0.892
1500,50,0.897
1500,-1,0.938
1501,1,0.578
1501,5,0.877
1501,10,0.887
1501,25,0.89
1501,50,0.891
1501,-1,0.932
1502,1,0.634
1502,5,0.906
1502,10,0.919
1502,25,0.92
1502,50,0.925
1502,-1,0.95
1503,1,0.67
1503,5,0.838
1503,10,0.865
1503,25,0.885
1503,50,0.881
1503,-1,0.936
1504,1,0.742
1504,5,0.809
1504,10,0.83
1504,25,0.876
1504,50,0.884
1504,-1,0.941
1505,1,0.463
1505,5,0.889
1505,10,0.854
1505,25,0.872
1505,50,0.891
1505,-1,0.935
1506,1,0.421
1506,5,0.845
1506,10,0.875
1506,25,0.893
1506,50,0.906
1506,-1,0.934
1507,1,0.172
1507,5,0.787
1507,10,0.852
1507,25,0.9
1507,50,0.903
1507,-1,0.934
1508,1,0.824
1508,5,0.867
1508,10,0.898
1508,25,0.908
1508,50,0.889
1508,-1,0.94
1509,1,0.789
1509,5,0.894
1509,10,0.903
1509,25,0.879
1509,50,0.868
1509,-1,0.932
1510,1,0.633
1510,5,0.852
1510,10,0.888
1510,25,0.906
1510,50,0.927
1510,-1,0.947
1511,1,0.848
1511,5,0.871
1511,10,0.889
1511,25,0.911
1511,50,0.931
1511,-1,0.942
1512,1,0.622
1512,5,0.837
1512,10,0.855
1512,25,0.895
1512,50,0.915
1512,-1,0.948
1513,1,0.837
1513,5,0.812
1513,10,0.855
